"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"11",NA,"Instituto de Botânica, IBT","SP","341772","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, CA; Renner, SS","1995-02-01T00:00:00.000+0000","824","Vicentini, A; Nicolau, SA; Silva, CF",1995,2,1,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Próximo à Torre de observação",-59.8,-2.883333,NA,"BRA:IBt:SP:0000341772",NA,"Mouriri dimorphandra T.Morley"
"12",NA,"Instituto de Botânica, IBT","SP","341761","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, CA","1995-03-01T00:00:00.000+0000","376","Sothers, CA; Vicentini, A; Assunção, PACL; Pereira, EC",1995,3,28,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Picada da Petrobrás",-59.8,-2.883333,NA,"BRA:IBt:SP:0000341761",NA,"Mouriri dimorphandra T.Morley"
"13",NA,"NY","NY","1290316","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"376","C. A. Sothers",1995,3,28,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.  Picada da PetrobrÃ¡s.  Floresta de Vertente.",0,0,NA,"7976f7d0-4f80-4812-8fb4-1ae6dcbdc465",NA,"Mouriri dimorphandra T.Morley"
"14",NA,NA,"Botany","U.1389386","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,NA,"Sothers CA",1995,3,28,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1389386",NA,"Mouriri dimorphandra T.Morley"
"15","2014-04-05T06:07:00.000+0000","MO","MO","3259457","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"Sothers 376","Cynthia A. Sothers|Alberto Vicentini|P. A. Costa Lima Assunção|E. da C. Pereira",1995,3,28,"Brazil","Amazonas",NA,"Picada da Petrobras. Flroesta de Vertente. Arvore. Solo argiloso, 13 m altura. DAp=20 cm, dossel, aspecto acanalado; base acanalada. Ritidoma castanho-acinzentado, rigido escamoso, Corte; casca morta castanha papiracea; casca viva castanho-amarelada, nao -fibrosa;alburno amarelo, rajado.",NA,NA,NA,"urn:catalog:MO:Tropicos:3259457","http://www.tropicos.org/Specimen/3259457","Mouriri dimorphandra T.Morley"
"16",NA,NA,"Botany","U  0286727","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,NA,"Sothers CA",1995,3,28,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200286727",NA,"Mouriri dimorphandra T.Morley"
"17","2014-07-22T17:23:10.000+0000","JBRJ","RB","RB00240596","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","SOTHERS, C.A.",NA,"376","SOTHERS, C.A.; VICENTINI, A.; ASSUNÇÃO, P.A.C.L.; PEREIRA, E. DA C.",1995,3,28,"Brazil","Amazonas","Amazonas","RESERVA FLORESTAL DUCKE, MANAUS-ITACOATIARA, KM 26. PICADA DA PETRÓBRAS.",-59.966667,-2.883333,"ÁRVORE. 13M ALTURA, DAP=20CM, DOSSEL, ASPECTO +/- ACANALADO, BASE ACANALADA. RITIDOMA CASTANHO-ACINZENTADO, RÍGIDO, ESCAMOSO. CORTE: CASCA MORTA CASTANHA, PAPIRÁCEA; CASCA VIVA < 0,5 MM, CASTANHO-AMARELADA, NÃO-FIBROSA; ALBURNO AMARELO, RAJADO +/- DE BRANCO. FRUTOS IMATUROS CREME-AMARELADOS, PASSANDO A AMARELOS QUANDO MADUROS.","urn:catalog:JBRJ:RB:240596",NA,"Mouriri dimorphandra T.Morley"
"18","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968765","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.","1995-03-28T00:00:00.000+0000","376","Sothers, C.A.; Vicentini, A.; Assunção, P.A.C.L.; Pereira, E.C.",1995,3,28,"Brazil",NA,NA,"Picada da Petrobrás.",-59.97,-2.88,"Herb. Hort. Kew. Flora da Reserva Ducke. Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Planta fichada: 2388-17. Overseas Development Administration","http://specimens.kew.org/herbarium/K000968765",NA,"Mouriri dimorphandra T.Morley"
"19","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","183722","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.","1995-03-01T00:00:00.000+0000","376","Mike Hopkins",1995,3,28,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Picada da Petrobrás.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:187908",NA,"Mouriri dimorphandra T.Morley"
"20","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","183724","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.","1995-05-01T00:00:00.000+0000","469","Mike Hopkins",1995,5,22,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Torre.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:188002",NA,"Mouriri dimorphandra T.Morley"
"21","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968763","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, C.A.",NA,"469","Sothers, C.A.; Pereira, E.C.",1995,5,22,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus- Itacoatiara, km 26.",-59.97,-2.88,"Flora da Reserva Ducke Amazonas, Brasil. Instituto Nacional de Pesquisas da Amazônia Overseas Development Administration","http://specimens.kew.org/herbarium/K000968763",NA,"Mouriri dimorphandra T.Morley"
"22","2014-01-11T21:18:00.000+0000","MO","MO","3259790","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers,C.A.","1995-01-01T00:00:00.000+0000","Sothers 469","Cynthia A. Sothers|E. da C. Pereira",1995,5,22,"Brazil","Amazonas",NA,"Torre. Flroesta d ePlato. Arvore. Solo argiloso, sub-dosel 10 cm DAp. tronco circular de base reta. Ritidoma acinzentado, micro-fissurado mm d eprof. e larg. distanciadas. Desprendimento em escamas finas. Ao corte casca morta final; AO corte casca morta fina; casca viva bege-amarelado, indistinta do alburno pela cor.",-59.96666,2.88333,NA,"urn:catalog:MO:Tropicos:3259790","http://www.tropicos.org/Specimen/3259790","Mouriri dimorphandra T.Morley"
"23","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","202120","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Andrade-Lima, A.D.","2006-01-01T00:00:00.000+0000","2303.3577.2","Mike Hopkins",1989,6,28,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR-174, km 72, depois 6 km oeste da BR, Fazenda Dimona.",-60.08,-2.316667,NA,"urn:catalog:inpa:herbarium:119181",NA,"Mouriri dimorphandra T.Morley"
"24","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","175838","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Andrade-Lima, A.D.","2006-01-01T00:00:00.000+0000","2303.3577.2","Mike Hopkins",1989,6,28,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR-174, km 72, depois 6 km oeste da BR, Fazenda Dimona.",-60.08,-2.316667,NA,"urn:catalog:inpa:herbarium:119183",NA,"Mouriri dimorphandra T.Morley"
"25","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968767","Mouriri dimorphandra T.Morley","cf.","Melastomataceae","Mouriri","dimorphandra","T.Morley","Wurdack, J.J.",NA,"8770","Nee, M.H.; Boise, J.; Lopes, E.A.; Lima, R.P.; Oliveira, J.G.; Cid Ferreira, C.A.; Coelho, J.A.",1987,4,9,"Brazil",NA,"Guajará-Mirim","Chapada dos Pacaás Novos. Projeto de Assentamento do INCRA linha 10, a 06km da cidade de Guajará-Mirim.",-65.28,-10.75,"Projeto Flora Amazônica. Plantas coletadas em Rondônia","http://specimens.kew.org/herbarium/K000968767",NA,"Mouriri dimorphandra T.Morley"
"26",NA,"NY","NY","1290317","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"8770","C. A. Cid Ferreira",1987,4,9,"Brazil","RondÃ´nia",NA,"Chapada dos PacaÃ¡s Novos em depressÃ£o da Chapada. Projeto de Assentamento do INCRA linha 10, a 6 km da cidade de GuajarÃ¡-Mirim.",-65.28,-10.75,NA,"9c2a7aac-9b64-4fba-aa4d-63a87564460a",NA,"Mouriri dimorphandra T.Morley"
"27","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","153425","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Wurdack, J.J.","1990-01-01T00:00:00.000+0000","8770","Mike Hopkins",1987,4,9,"Brazil","Rondônia",NA,"Chapada dos Pacaás Novos em depressão da Chapada. Linha 10, a 6 Km da cidade de Guajará-Mirim. Mata de terra firme, solo arenoso.",-65.28,-10.75,NA,"urn:catalog:inpa:herbarium:234156",NA,"Mouriri dimorphandra T.Morley"
"28","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","153425","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Wurdack, J.J.","1990-01-01T00:00:00.000+0000","8770","Mike Hopkins",1987,4,9,"Brazil","Rondônia",NA,"Chapada dos Pacaás Novos em depressão da Chapada. Linha 10, a 6 Km da cidade de Guajará-Mirim. Mata de terra firme, solo arenoso.",-65.28,-10.75,NA,"urn:catalog:inpa:herbarium:52891",NA,"Mouriri dimorphandra T.Morley"
"29","2009-07-24T16:01:00.000+0000","MO","MO","3256733","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","J. Wurdack","1990-01-01T00:00:00.000+0000","Cid Ferreira 8770","C.A. Cid Ferreira",1987,4,9,"Brazil","Rondônia",NA,"Mun. Guajará-Mirim. Chapada dos Pacaás Novos em depressao da Chapada. Projeto de Assentamento do INCRA linha 10, a 06 km da cidade de Guajará-Mirim. Mata de terra firme, solo arenoso.",-65.28333,-10.75,NA,"urn:catalog:MO:Tropicos:3256733","http://www.tropicos.org/Specimen/3256733","Mouriri dimorphandra T.Morley"
"30",NA,"NY","NY","1290318","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"1063","M. G. Vieira",1979,11,10,"Brazil","RondÃ´nia",NA,"Ramal de 15 Km. de Pimenta Bueno a Rolim de Moura.",-60.17,-12.75,NA,"6e4106c9-b2c2-41ba-9e90-786392a86d18",NA,"Mouriri dimorphandra T.Morley"
"31","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","89384","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Morley, T.","1980-01-01T00:00:00.000+0000","1063","Mike Hopkins",1979,11,10,"Brazil","Rondônia",NA,"Ramal de 15 Km de Pimenta Bueno a Rolim de Moura",-60.17,-12.75,NA,"urn:catalog:inpa:herbarium:203669",NA,"Mouriri dimorphandra T.Morley"
"32","2010-06-17T12:16:00.000+0000","MO","MO","3259166","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","T. Morley","1980-01-01T00:00:00.000+0000","Vieira 1063","M.G. Vieira",1979,11,10,"Brazil","Rondônia",NA,"Ramal de 15 km de Pimenta Bueno a Rolim de Moura.",-60.166667,-12.75,NA,"urn:catalog:MO:Tropicos:3259166","http://www.tropicos.org/Specimen/3259166","Mouriri dimorphandra T.Morley"
"33",NA,NA,"Botany","U.1389388","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,NA,"Prance GT; Pena BS; Ramos JF",1977,3,21,"Brazil",NA,NA,"Plants of Brazilian Amazonia, State of Amazonas, Manaus and Vicinity, Road Manaus-Caracarai km 22.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1389388",NA,"Mouriri dimorphandra T.Morley"
"34","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","89384","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Renner, S.S.","1984-01-01T00:00:00.000+0000","649","Mike Hopkins",1975,11,23,"Brazil","Amazonas",NA,"Vila Nogueira, igarapé Manuá",NA,NA,NA,"urn:catalog:inpa:herbarium:28293",NA,"Mouriri dimorphandra T.Morley"
"35","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","54187","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Renner, J.J.","1984-01-01T00:00:00.000+0000","649","Mike Hopkins",1975,11,23,"Brazil","Amazonas",NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:28292",NA,"Mouriri dimorphandra T.Morley"
"36",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","2049","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"66","Silva, M.F. da; Coêlho, D.F.",1972,2,22,"Brazil","Amazonas",NA,"Estrada Manaus-Itacoatiara, Km 64, Reserva Florestal Walter Egler",0,0,"Árvore de 18m de altura x 45cm de diâmetro; fuste cilíndrico, ereto durissimo; copa pequena; flores roseas com pétalas espêssas, estames amarelos. Em mata de terra firme. ; DE","BRA:IFAM - CMZL:EAFM:0000002049",NA,"Mouriri dimorphandra T.Morley"
"37","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","35200","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"66","Mike Hopkins",1972,2,22,"Brazil","Amazonas",NA,"Estrada Manaus-Itacoatiara, Km 64, Reserva Florestal Walter Egler",NA,NA,NA,"urn:catalog:inpa:herbarium:177904",NA,"Mouriri dimorphandra T.Morley"
"38","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","25849","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Morley, T.",NA,"9050","Mike Hopkins",1968,12,17,"Brazil","Amazonas",NA,"Reserva Florestal Walter Egler, road Manaus-Itacoatiara, Km 64. Forest on terra firme, clay soil.",NA,NA,NA,"urn:catalog:inpa:herbarium:134576",NA,"Mouriri dimorphandra T.Morley"
"39","2014-03-21T00:00:00.000+0000","K","Herbarium","K000968766","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"4703","Forero, E.; Ramos, J.F.; Pena, B.S.; Prance, G.T.",1967,3,21,"Brazil",NA,"Manaus","Road Manaus-Caracarai km22.",NA,NA,"Plants of Brazilian Amazônia. Field work carried out in collaboration with the Instituto Agronômico do Norte,and financed in greater part by the National Science Foundation","http://specimens.kew.org/herbarium/K000968766",NA,"Mouriri dimorphandra T.Morley"
"40",NA,"NY","NY","1290319","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,"182","E. Cordeiro",1952,NA,NA,"Brazil","RondÃ´nia",NA,"Territorio do GuaporÃ©.",-63.9053507670111,-8.76545482615147,NA,"66b3ae9f-4a61-4047-a095-fe5e2a40c571",NA,"Mouriri dimorphandra T.Morley"
"41",NA,"F","Botany","V0152415F","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"80ab5221-c218-4266-a200-ea53a7f93430",NA,"Mouriri dimorphandra T.Morley"
"42",NA,"MBM","MBM","244406","Mouriri dimorphandra T.Morley",NA,"Melastomataceae","Mouriri","dimorphandra","T.Morley","Sothers, CA",NA,"469","Sothers, CA; et al.",NA,NA,NA,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, torre",0,0,NA,"BRA:MBM:MBM:0000244406",NA,"Mouriri dimorphandra T.Morley"
"43","2/06/17 16:07","INPA","INPA","153425","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Wurdack, JJ",NA,NA,NA,NA,NA,NA,"Brasil","Rond̫nia",NA,"Chapada dos Paca��s Novos em depresṣo da Chapada. Linha 10, a 6 Km da cidade de Guajar��-Mirim. Mata de terra firme, solo arenoso.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"44","2/06/17 16:07","INPA","INPA","153425","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Wurdack, JJ",NA,NA,NA,NA,NA,NA,"Brasil","Rond̫nia",NA,"Chapada dos Paca��s Novos em depresṣo da Chapada. Linha 10, a 6 Km da cidade de Guajar��-Mirim. Mata de terra firme, solo arenoso.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"45","2/06/17 16:07","INPA","INPA","175838","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Andrade-Lima, AD",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Distrito Agropecu��rio, ZF3., Ca. 90 km N de Manaus, Distrito Agropecu��rio da SUFRAMA, Rodovia BR-174, km 72, depois 6 km oeste da BR, Fazenda Dimona.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"46","2/06/17 16:07","INPA","INPA","183722","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Sothers, CA",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Picada da Petrobr��s.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"47","2/06/17 16:07","INPA","INPA","183724","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Sothers, CA",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Torre.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"48","2/06/17 16:07","INPA","INPA","183730","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Sothers, CA",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Pr�_ximo a Torre de observa̤̣o.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
"49","2/06/17 16:07","INPA","INPA","202120","Mouriri dimorphandra",NA,"Melastomataceae","Mouriri",NA,"Morley","Andrade-Lima, AD",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Distrito Agropecu��rio, ZF3., Ca. 90 km N de Manaus, Distrito Agropecu��rio da SUFRAMA, Rodovia BR-174, km 72, depois 6 km oeste da BR, Fazenda Dimona.",NA,NA,NA,NA,NA,"Mouriri dimorphandra Morley"
